,rpm,u_hp,Q_pcm,soc,outdoor_temp,e_price,load,u_pcm,e,EER
920,1886.799059018452,0.0,-1.25,0.11549677748815823,23.5,0.083,0.4625191386765875,1.0,0.05965667480399645,7.753015738745179
921,1775.5608934163965,0.0,-0.0,0.8834433823081691,23.4875,0.083,0.4410405327396396,0.0,0.05868457126707774,7.515442700133774
922,1644.0330651523573,1.0,-0.0,0.18783269299486027,23.4624999999999,0.083,0.4260474137881417,0.0,0.05936804572741677,7.176375920209694
923,1843.105577412516,1.0,-0.0,0.4954673305732501,23.4375,0.083,0.40419547726810484,0.0,0.052643125998581806,7.678029554684761
924,2356.4438684039105,0.0,-1.25,0.21299608992416708,23.4124999999999,0.08605,0.5534142535037139,1.0,0.0669115518969739,8.270832730883683
925,1669.092083355619,0.0,-1.25,0.04252221477607665,23.3624999999999,0.08605,0.5291038392326048,1.0,0.07278660460311906,7.269247440756862
926,2102.1816429050577,0.0,-0.0,0.22788377230467471,23.2875,0.08605,0.506066187873716,0.0,0.06222858245502342,8.13237531546669
927,2870.8024567156313,0.0,-0.0,0.5904344987403657,23.2124999999999,0.08605,0.4765753981291778,0.0,0.060299842851418275,7.903426868018257
928,2160.615049153722,1.0,-1.25,0.46914431714026306,23.1375,0.08628000000000001,0.0,1.0,0.0,8.225688526150181
929,2091.587682314086,0.0,-0.0,0.8041609155940772,23.0625,0.08628000000000001,0.0,0.0,0.0,8.170385519964595
930,1280.2472259310332,0.0,-1.25,0.7250595731349619,22.9875,0.08628000000000001,0.0,1.0,0.0,5.988200500660929
931,1326.8948592455042,0.0,-0.0,0.37284891932099273,22.9125,0.08628000000000001,0.0,0.0,0.0,6.198998162956966
932,1508.479304592509,1.0,-0.0,0.8153090749766622,22.8374999999999,0.093,0.0,0.0,0.0,6.8923970759354
933,1593.1666089347395,1.0,-1.25,0.6422330111668298,22.75,0.093,0.0,1.0,0.0,7.184997052245376
934,2182.190083748982,0.0,-0.0,0.026374655784583534,22.6499999999999,0.093,0.0,0.0,0.0,8.354325222872303
935,1523.2902458156977,1.0,-0.0,0.763810163930197,22.55,0.093,0.0,0.0,0.0,7.007220268492383
936,2627.3395253444887,1.0,-1.25,0.5027403488602148,22.4499999999999,0.12125,0.0,1.0,0.0,8.395260446908825
937,1496.1973262177535,1.0,-1.25,0.9581474439951956,22.3374999999999,0.12125,0.0,1.0,0.0,6.964241665464797
938,1887.3165694834056,0.0,-0.0,0.21371639136931708,22.2124999999999,0.12125,0.0,0.0,0.0,8.044348520823187
939,2208.2890018710327,0.0,-1.25,0.21844224080078734,22.0874999999999,0.12125,0.0,1.0,0.0,8.503469287997403
940,2173.1201041489567,1.0,-1.25,0.17877542894231135,21.9624999999999,0.12287000000000001,0.07617088768560167,1.0,0.008956816678111266,8.504236541063595
941,2701.8907077964373,0.0,-1.25,0.26236177851981546,21.8374999999999,0.12287000000000001,0.23554882611787153,1.0,0.027835164323545658,8.462275393094112
942,2314.5438619555143,0.0,-0.0,0.17567961761497086,21.7124999999999,0.12287000000000001,0.30669150192173267,0.0,0.035467819669044345,8.6470356729993
943,2502.264753726297,1.0,-0.0,0.5043694335978981,21.5874999999999,0.12287000000000001,0.4560688018186785,0.0,0.05259256295497309,8.671735625608129
944,1980.3739526567956,0.0,-0.0,0.20384374685551465,21.4624999999999,0.12287000000000001,0.44888826806441107,0.0,0.05354365478495144,8.383594094711892
945,2489.6238306807395,0.0,-1.25,0.579539759323508,21.3624999999999,0.12287000000000001,0.0,1.0,0.0,8.729090168928566
946,2249.4524986927504,0.0,-0.0,0.8646240175036634,21.2875,0.12287000000000001,0.0,0.0,0.0,8.717239954177181
947,1283.9979113048291,0.0,-1.25,0.7580419726579903,21.2124999999999,0.12287000000000001,0.0,1.0,0.0,6.413533157004259
948,2419.4496499348515,0.0,0.0,0.7545822256738023,21.1375,0.0887,0.0,0.0,0.0,8.796239971116782
949,2456.922827524475,1.0,1.25,0.18301917310204863,21.0625,0.0887,0.0,1.0,0.0,8.80892729779314
950,1382.5403002297644,1.0,1.25,0.4609323970995598,20.9875,0.0887,0.0,1.0,0.0,6.865578266349575
951,2182.580404711991,1.0,0.0,0.17278405979345468,20.9125,0.0887,0.0,0.0,0.0,8.759223192740459
952,1689.3794385823867,1.0,0.0,0.862664639971841,20.8374999999999,0.081,0.0,0.0,0.0,7.9071818951186055
953,1556.2370429980729,1.0,0.0,0.2853040124841325,20.75,0.081,0.0,0.0,0.0,7.535484501934537
954,2401.9894686613034,0.0,1.25,0.42902194025543927,20.6499999999999,0.081,0.0,1.0,0.0,8.913286245982476
955,2269.866514456554,1.0,1.25,0.8414916503880682,20.55,0.081,0.0,1.0,0.0,8.904317495027133
956,2310.94382014507,0.0,1.25,0.0669653265015333,20.4499999999999,0.08628000000000001,0.0,1.0,0.0,8.945834923402678
957,1542.7286262356142,0.0,1.25,0.8094837165904964,20.3624999999999,0.08628000000000001,0.0,1.0,0.0,7.585372503679945
958,2383.2689175981595,1.0,0.0,0.36312588305037985,20.2875,0.08628000000000001,0.0,0.0,0.0,9.000281154076676
959,1725.6874051797686,0.0,0.0,0.6974643327716042,20.2124999999999,0.08628000000000001,0.0,0.0,0.0,8.153519476347055
960,1355.6974492952659,0.0,0.0,0.1440484871197485,20.1375,0.08011,0.0,0.0,0.0,6.965647734121918
961,2422.041699233908,0.0,0.0,0.7713300384484393,20.0875,0.08011,0.0,0.0,0.0,9.04894159204174
